sample.name,injection.order,class,batch,group
QC01pos,1,QC,1,QC
S079pos,2,Subject,1,Subject
S085pos,3,Subject,1,Subject
S004pos,4,Subject,1,Subject
S049pos,5,Subject,1,Subject
S012pos,6,Subject,1,Subject
S062pos,7,Subject,1,Subject
C12pos,8,Subject,1,Subject
S117pos,9,Subject,1,Subject
S119pos,10,Subject,1,Subject
QC02pos,11,QC,1,QC
S136pos,12,Subject,1,Subject
S076pos,13,Subject,1,Subject
S071pos,14,Subject,1,Subject
C18pos,15,Subject,1,Subject
S026pos,16,Subject,1,Subject
S121pos,17,Subject,1,Subject
S063pos,18,Subject,1,Subject
S096pos,19,Subject,1,Subject
S098pos,20,Subject,1,Subject
QC03pos,21,QC,1,QC
S005pos,22,Subject,1,Subject
S061pos,23,Subject,1,Subject
C21pos,24,Subject,1,Subject
S115pos,25,Subject,1,Subject
S022pos,26,Subject,1,Subject
S043pos,27,Subject,1,Subject
C16pos,28,Subject,1,Subject
S112pos,29,Subject,1,Subject
S107pos,30,Subject,1,Subject
QC04pos,31,QC,1,QC
S122pos,32,Subject,1,Subject
S065pos,33,Subject,1,Subject
S068pos,34,Subject,1,Subject
S104pos,35,Subject,1,Subject
C11pos,36,Subject,1,Subject
C2pos,37,Subject,1,Subject
S092pos,38,Subject,1,Subject
S051pos,39,Subject,1,Subject
S116pos,40,Subject,1,Subject
QC05pos,41,QC,1,QC
S133pos,42,Subject,1,Subject
S127pos,43,Subject,1,Subject
S070pos,44,Subject,1,Subject
S041pos,45,Subject,1,Subject
S124pos,46,Subject,1,Subject
S053pos,47,Subject,1,Subject
C19pos,48,Subject,1,Subject
S093pos,49,Subject,1,Subject
S011pos,50,Subject,1,Subject
QC06pos,51,QC,1,QC
S019pos,52,Subject,1,Subject
S003pos,53,Subject,1,Subject
S132pos,54,Subject,1,Subject
S118pos,55,Subject,1,Subject
S075pos,56,Subject,1,Subject
S129pos,57,Subject,1,Subject
S108pos,58,Subject,1,Subject
S097pos,59,Subject,1,Subject
S111pos,60,Subject,1,Subject
QC07pos,61,QC,1,QC
S052pos,62,Subject,1,Subject
S039pos,63,Subject,1,Subject
C15pos,64,Subject,1,Subject
S081pos,65,Subject,1,Subject
S045pos,66,Subject,1,Subject
